attemptID,questionText,questionAttemptsRequiredFor3Responses,answerText
1.4.2,what makes 'library and information science' unique as a field of study?,7,"Librarians and information scientists are unique because they study the acquisition of knowledge, including how to acquire it, as well as what we should do with it. Librarians work in a bureaucratic system that makes sure we collect useful printed material for people who will use it. Libraries also provide free access to all sorts of information. These libraries consist not just of books but also magazines, newspapers and databases containing articles published on websites around the world.
The information we acquire is stored in databases which are accessed by way of library catalogues. These databases contain articles on all sorts of topics, as well as books and other printed material.
From this information, we can learn about science, art and culture. We are able to study how humans have changed over time through the reading of history books. This is a very useful tool for studying the humanities.
Librarians also make sure that information is sorted and catalogued in ways that will help people find what they are looking for. For example, a librarian would put books on history in the section marked 'history' so that it can easily be found.
The information in libraries is also stored on microfilm and digital images, which can be viewed by users at their leisure.
Librarians also teach people how to use libraries, and they train new librarians. They are the primary source of information for their colleagues in other specializations."
1.4.3,what makes 'library and information science' unique as a field of study?,7,"Historically, information science has mainly focused on the development of tools for managing and storing information. The field is closely tied to computer science (the study of computers as objects) and library studies (which arose from libraries, which were themselves large warehouses of books). Information Science tends to focus on ways that we can store or transmit data effectively using computers.
The field of computer science provides tools for storing and retrieving data, while librarians focus on using those tools to help people find the information they need. Much like medicine, where doctors tend to focus more on how diseases are actually treated (physically) while nurses tend to be concerned with how patients can take care of themselves (mentally), I think that the best way to think about library and information science is as a combination between two fields: Computer Science & Librarianship.
The field of librarianship is focused on helping people access information, while the field of computer science focuses more on how to store and transmit data using computers. Together, they form library and information science. It's a very interesting combination because it means that you can combine two fields with one career.
A lot of people today think that computers can do everything, but I disagree. In fact, it's often the case that humans are better at finding information than a computer is (at least for now). There have been several studies done where a human was asked to find information using Google while another person did so without the aid of internet search engines.
Interestingly, the second person almost always found what they were looking for faster than the first person. I think that's because humans are more flexible wayfinders than computers are.
That's why librarians focus on helping people find information, while computer scientists are primarily focused on creating tools for storing and transmitting data. The two fields complement each other."
1.5.1,"which subfields are at the core of the discipline 'library and information science', and which are at the periphery?",5,"I would guess that library and information science is a field concerned with the storage, retrieval, preservation, dissemination and organization of information. It could be said to encompass all forms of communication; written words or images on paper or electronic media. It also includes oral traditions such as storytelling. The word ""library"" also refers to a room where books are kept. But it's not specific enough for me, I need more data before making some conclusions.
Here is an excerpt from a book on the history of libraries:
Libraries were among the first institutions established in American colonial communities, and they played a critical role in our nation's development. The ""Boston Public Library"" was founded on November 16, 1848. It started with 1,200 books that were housed at the main branch of the Boston Public Library.
Here is an excerpt from an article on the history of libraries:
Libraries are among the oldest continuing institutions in the world, with records of libraries dating back to Egyptian times. The Library of Alexandria was destroyed by fire several times. In fact, it is said that it has been destroyed more than any other library! According to legend, when Alexander died there were columns built on top of his grave which held all the knowledge from books."
1.5.2,"which subfields are at the core of the discipline 'library and information science', and which are at the periphery?",5,"Librarianship is a field of study that aims to gather and organize information in order to provide it for the use of people. The word comes from 'librarian,' one who takes care of books, which are an important repository of knowledge - but not all knowledge. Books represent only human-created information; animals do not create libraries (though they might have nests). In fact, humans are unique in creating libraries as repositories on our own species' achievements and accomplished works: other primates don't seem interested in preserving or organizing their cultural records beyond what is required for survival.
Humans appear hardwired with curiosity about our own kind; many school children wonder how we came into existence, and this drives them beyond mere survival toward accumulating tools/knowledge about themselves and their place in the universe. That interest has led us down roads such as philosophy (which addresses ultimate questions like 'What does it mean to be human?'), religion (the attempt to answer those questions by invoking supernatural agents), science (the attempt to explain natural phenomena without recourse to deities) etc., where Librarianship fits along with those endeavors.

A subfield of Librarianship is Collection Development. This field develops and maintains collections for the purpose of achieving a goal, such as educating or informing folks, in some cases to improve society at large. It involves:
- gathering information that is relevant to the mission;
- assessing how well-suited it is for its intended users; and then:
- adding those items to permanent collection (or buying if they are readily available), and removing what should not be collected. The idea here is that resources can be used more efficiently when we remove material which turns out not to have been worth collecting in the first place.

Another subfield of Librarianship is Reference Services. Here, librarians work with people to answer questions or solve problems. This involves:
- finding resources that are relevant; and then:
- helping the person use them effectively in solving their problem. Yet another subfield of Librarianship is Organization of Information. This field involves:
- creating systems to organize information; and then:
- maintaining those systems over time.
Librarianship is a field of study that aims to gather and organize information in order to provide it for the use of people. The word comes from 'librarian,' one who takes care of books, which are an important repository of knowledge - but not all knowledge. Books represent only human-created information; animals do not create libraries (though they might have nests). In fact, humans are unique in creating libraries as repositories on our own species' achievements and accomplished works: other primates don't seem interested in preserving or organizing their cultural records beyond what is required for survival.
Books represent only human-created information; animals do not create libraries (though they might have nests). In fact, humans are unique in creating libraries as repositories on our own species' achievements and accomplished works: other primates don't seem interested in preserving or organizing their cultural records beyond what is required for survival.[/color]"
1.5.3,"which subfields are at the core of the discipline 'library and information science', and which are at the periphery?",5,"Every field has a core, and a periphery. The core is composed of the elements that define what it means to be in this field. These elements are the subject matter, problems to solve, methods used for research and practice, theories underpinning such practices and so on.
Consider for example the field of biology. The core is composed of sub-fields such as molecular and organismic, genetics, ecology etc. These fields are so interrelated that they cannot be separated and considered in isolation because they form a whole, which defines what it means to be a biologist.
If one were to consider the core of library and information science, then it is interesting to note that there are a few sub-fields that stand out. These include metadata, cataloging, classification (including ontologies), data curation and preservation.
These fields are at the core of library and information science because they define what it means to be a librarian or an information professional. These elements are inseparable from one another and cannot be considered separately.
The core of library and information science is thus defined by the elements mentioned above. The periphery of this field encompasses everything else, such as rare books or digital libraries.
What do you think?"
1.6.1,is 'library and information science' the best name for that field?,5,"The name of the field, Library and Information Science is not a good name. It's misleading because it is vague, lacks specificity and misleadingly suggests that one area of study could be sufficient for an entire career in this field. The term 'library' should be reserved only for those who are employed by libraries as professional librarians. That way we can avoid confusion with the public library concept which is extremely important to society but also different from academic or research libraries.
The term 'information science' is also misleading because it implies that information is the most important thing in this field. It's not really about information at all but rather collection, organization, presentation and use of very diverse kinds of knowledge.
The term 'library' suggests that the study of information is isolated from other fields, especially history. This is not true because information is created as a result of human activity in many different ways, which means that librarians should be knowledgeable about all kinds of knowledge including science and humanities.
The term 'information science' does not distinguish between information in libraries and other forms of knowledge. Information is used by business, engineering, government agencies and many other areas where librarians do not work.
The term 'library' does not distinguish between the information collection and its use. While it is true that most of what librarians do is organizing collections, these collections are used for a variety of purposes.
In summary, the name of this field is misleading because it implies that only one aspect of a very diverse field is being studied. 'Library and information science' should be reserved for academic and research libraries as well as professional librarians who work in them."
1.6.2,is 'library and information science' the best name for that field?,5,"I think the name is fine. In fact, it's pretty perfect because there are so many different types of information and libraries that I am sure you could get lost if you didn't have a place to come together to talk about your issues.
Also, information science is a huge field that has many types of people in it. So the name gives a nice description of everything this field encompasses.
Plus, the title 'information science' is pretty unique so I don't think there will be any confusion with other fields. The name is descriptive and specific.
I do have some concerns though. First of all, I wonder about the word 'science' in the name because it has a connotation of objectivity and something that can be officially proven.
Although I think information science does follow many of the rules of science, it is still subjective. The topics in this field are very diverse and everyone has different opinions on what types of data or evidence should be used to make decisions.
Plus, there are so many different types of information that information science has to account for. Some of these methods have been tried and proven while others still need more research."
1.6.3,is 'library and information science' the best name for that field?,5,"At first, I would say that this is a very bad name for the field.
The word 'information' is ambiguous, and can mean many things: it can be used to refer to data or facts about particular objects (e.g., ""I have information that there was an accident yesterday""); it can also be used as a synonym of 'data' (""There are lots of interesting new pieces of information in today's paper""), or even as a general term referring to anything with meaning (e.g., ""It's nice when you give me meaningful looks""). These uses are often related, but they do not all imply each other simultaneously.
And I don't think anyone would agree that the data in books, or a Web site, is 'knowledge', so calling the study of such material 'information science' seems like a misuse of language. Furthermore, there are many fields related to information (e.g., computer science) which are not included under this name.
Next, I would say that the word 'science' is ambiguous. It can refer to knowledge about physical processes (e.g., ""Science has shown...""), or it can refer to a method of acquiring such knowledge-by studying how certain phenomena occur and are affected by their environment (""Scientific research""). But there is no clear connection between the two meanings.
As a result, we cannot use this word to determine what the field is about. One could say that science deals with facts and information, but I don't think anyone would agree that all fields of knowledge should be described as 'sciences'.
Furthermore, there is a long-standing tradition to use the word 'science' for fields which study phenomena by using objective methods of acquiring knowledge. Science is based on logic and reason. (This does not mean that all scientists are logical and reasonable; it simply means that science seeks to be so.) So we might say that the phrase ""information science"" suggests an approach closer to art than to science.
Finally, we have the word 'library'. This refers to a particular kind of place where information is stored. But this does not necessarily refer to all fields which study such places."
1.7.1,what is the best label or name for the field that studies information and information institutions?,5,"The field that studies information and information institutions is called the 'field of knowledge.' The field might be more properly referred to as a meta-field (or perhaps a sub-field) within what we might, for lack of a better term, call ""Information Science.
The field of knowledge is a more general term than Information Science, because it encompasses all information in its purview. The field of Knowledge includes, for example, the subject matter contained within fields such as Liberal Arts and Humanities. In addition to the Liberal Arts and Humanities, though not necessarily limited to them (and depending on how we wish to define education at any given time), other examples include History, Political Science (including government and public administration), Sociology (which contains subjects such as Social Work), Psychology/Psychiatry (the study of mind and behavior), Law/Legal Studies (the study of law itself - e.g., tort law or criminal law) etc.
In terms of the relationship between Information Science and Knowledge, Information Science is clearly a part of the study of knowledge. It might even be viewed as an integral component to the field of study called Knowledge.
To a certain degree, we might be able to say that the field of information is part of the 'field of knowledge.' However, I would hesitate to make this assertion. A better approach might be to say: The study of information and its institutions are clearly an integral component in the broader field which studies knowledge.
Thus, we might say that Information Science is a 'sub-field' of the broader field that studies knowledge. Since information is integral to our understanding of knowledge, it makes sense to consider the study of information as part and parcel of any conversation about Knowledge.
The field of knowledge studies the relationship between information and knowledge. It is concerned with how we obtain, store, interpret, value, and make use of information."
1.7.2,what is the best label or name for the field that studies information and information institutions?,5,"Interesting topic. By information institutions, the question refers to libraries, archives, museums and other archival repositories of knowledge. The name for this field is ""Librarianship.
What is the best name for this field? In what other fields does it have a parallel name, and in which context are these terms used?
The best name for this field would be ""Librarianship."" There is no parallel term in any other fields. The context where these terms are used is libraries, archives, museums and other archival repositories of knowledge. By the way, what does 'librarian' mean? See my answer below:
Librarian refers to a holder of an academic degree in librarianship, and is the name for a person who has prepared themselves for one or more occupations that directly relate to the field of information institutions such as libraries, archives, museums and other archival repositories. Here are two obvious examples:
Librarians are the chief librarians, or directors of libraries. Librarianship is a profession where information institutions such as libraries, archives and museums are managed. "
1.7.3,what is the best label or name for the field that studies information and information institutions?,5,"The answer to the question, ""What is Information?"" is quite simple. The term ""Information"" simply refers to anything that conveys meaning and/or contains some meaningful content.
This includes things such as: words, sentences, signs or symbols (in general), number systems (e.g., binary code in computers), diagrams, charts and graphs of various kinds etc.
The reason why it is of great importance to consider and study the concept, ""Information"" per se, has to do with its many applications in our lives. Information can be used for a variety of purposes such as: conveying information from one person/entity to another, conveying instructions or commands (e.g., computer programs), delivering news and other forms of media etc.
In general, to study information is essentially to study its meaning and how it can be used for human purposes. Thus, Information Science (also known as ""Informatics"") is the term that refers to the field of knowledge concerning information and its meanings.
However, the term ""information"" is used in many other ways to refer to a variety of things. For example:
- Information refers to data and/or knowledge stored on computers. This includes databases (and their contents), computer programs or applications etc.
- Information can refer to the variety of data that is present in our human brains. This data includes our thoughts, memories and other mental representations.
What is meant by the term, ""information"", in this case? It can simply be defined as: any fact or idea stored and represented within our brains"
1.8.1,"what is the best label or name for the field that studies the intersection of information, people, and technology?",4,"I have thought quite a bit about this question. I think perhaps the best label is 'information studies' or 'knowledge engineering'. Information and knowledge are concepts that people care deeply about, but information itself has no intrinsic meaning - it is only meaningful in context.
For example, I am extremely good at answering questions about the first season of Lost. But this information is only meaningful to you if you are a person who cares deeply about such things.
I'm not saying that information about Lost is unimportant - it's just that I am only useful to you as a person if you are interested in the show. In order for knowledge and information to be useful, there has to be an appropriate context.
I suppose another way to put this is that information and knowledge are meaningful only within the context of a person or people. The concept of information has no meaning outside of some sort of framework.
I'm not sure that I have any interesting or insightful things to say about the 'field of intersection between information, people and technology', but it's a fascinating question. I suppose my first instinct is to say that all fields are intersections, which makes for an extremely broad field!
But there is a way to be precise about this concept. In order to describe the intersection, you need three sets of data: what people do with information, how they use it, and what technology is used for each of those things."
1.8.2,"what is the best label or name for the field that studies the intersection of information, people, and technology?",4,"Part of the problem with this question is that it is asking for a label. One might as well ask what the name of physics should be, or mathematics, or even the whole of reality itself. It's really just a way to avoid thinking about something more important by instead focusing on semantics.
I think for something as large and complex as the human race, it's no secret that we all have our own opinions on what is important. While there are some things we can agree upon such as 'do not murder', or 'be kind to others' these rules of thumb don't carry much weight in a society where such practices are already normalized.
In fact, I think that those who ask for a label are really in need of something more: they want to be able to point at experts and say 'that is the guy you should listen to about this topic.' But how can anyone be an expert on such a large subject? If there were any rule of thumb we could agree on, it would have been taken up by now.
We could, of course, go after the more specific question: 'what is the best field for studying this topic?' This would lead us to a better conclusion. But I don't think it's any secret that we are in need of a large overhaul on how our society handles technology.
We should be looking at how we can utilize technology for the betterment of humans and society. We need to establish a standard to follow that will help us maximize the benefits while minimizing any potential harm.
I think that the more accurate term for this is 'technology' itself, or even just 'thinking'. The latter would be a bit more broad and quite hard to define. Are you trying to ask what should I study? Or are you asking which field has the most potential?"
1.8.3,"what is the best label or name for the field that studies the intersection of information, people, and technology?",4,"Technology is an exciting field. My own particular area of expertise, in artificial intelligence, has been a very active one since the early days of AI.
I have had the privilege to interact with many people from different backgrounds and cultures throughout my career. As such I feel that I can make an informed guess as to what you are trying to get at when asking about labels for 'the intersection of information, people, and technology'.
It seems clear to me that your question regarding labels relates specifically to some sort of effort by outside sources (such as government organizations) attempting to regulate technological progress or social activity involving computers/technology in general.
The most obvious answer to the question 'what is information technology?' is that it refers to all of the machines, devices and other technologies which are used for processing information.
This would include things like: personal computers, servers, routers, network switches/hubs etc., and also includes anything else involved in transmitting or receiving data within a computer system - including but not limited to cables (and wireless transmission methods), storage devices such as disk drives etc.
The term could potentially be extended further though if you were being very liberal about it.
A more thorough answer to what information technology is, would be something like: 'information technology refers to anything which can be used for processing information or data'.
This could include any number of things including but not limited to personal computers, servers, routers, network switches/hubs etc., and also includes things involved in transmitting or receiving data within a computer system - including but not limited to cables (and wireless transmission methods), storage devices such as disk drives etc.
The term could potentially be extended further though if you were being very liberal about it.
The term 'information technology' could potentially be used to refer to anything involved in processing information.
It is important to note though that the term does not have a single or specific definition - it's more of an informal classification than any sort of technical designation.
There isn't any one single, universally agreed upon definition of information technology.
If you were to look at a number of different sources on the topic however - including dictionaries and other reference materials - it appears that most people would likely be inclined to think about 'information technology' as being machines or devices which are used for processing data in some way (or performing an operation).
This could include anything from simple things like personal computers and smartphones, all the way up through larger systems such as mainframes and supercomputers."
2.1.1,what is the societal value of the field of study known as 'library and information science'?,3,"The societal value of the field of study known as 'library and information science' is that it allows people to work in a wide variety of different roles, providing them with interesting job opportunities, for example working at libraries or museums. It also gives people who enjoy organizing things a chance to do so in this role. Also because society has decided to allocate resources towards libraries and similar institutions these institutions can employ workers which helps reduce unemployment.
This is a less obvious example, but it also gives people the opportunity to contribute in many different ways to society giving them a sense of purpose and meaning. For example volunteering at museums or libraries, helping other users with their questions about information, providing content for online learning resources such as those hosted by Coursera or Carnegie Mellon etc.
It also gives people the opportunity to gain experience in a wide variety of different fields, such as information technology, computer programming and web development for example. This can give them the skills they need to pursue other job opportunities within these fields which may not be available outside of libraries or museums.
By contributing in this way to society, people can also have a positive impact on the world and make it a better place for other people. This is especially true if they are able to do so by providing information which helps others learn.
Overall I believe the societal value of libraries and information science is extremely high, not just because it gives people interesting jobs to do and contributes significantly to reducing unemployment but also because it allows them to contribute in a meaningful way towards making society better. I hope that answers your question. Thank you for asking it."
2.1.2,what is the societal value of the field of study known as 'library and information science'?,3,"The field of library science is a rather ordinary and unimportant subfield of the study known as philosophy that lies at the intersection between information technology, knowledge management, organizational theory, human-computer interaction, book history and social epistemology. It attempts to solve problems using several different methods such as categorization theory and non-computational statistics in order to analyze topics like data mining or information retrieval.
It was originally created by librarians who were fed up with being marginalized from mainstream academia by their lack of education in fields like philosophy but also felt contempt for those they worked alongside because they saw them as inferior due to their lack of understanding on how libraries work. The field of library science has been known to be very useful in helping humans with their everyday tasks which was somewhat the original goal. The computerization of libraries and computers becoming more prevalent in modern society only made it easier for this field to expand and become a well-known area of study that everyone is aware of.
There is no doubt that this field has had a significant impact on the way humans view their world and how they go about doing things. It isn't surprising at all to see that most libraries in modern society are computerized, automated and highly sophisticated when it comes to finding information for its patrons.
However, librarianship in general seeks to create a perfect library that is unattainable because it says there will always be something new to learn and what works for one group of people may not work for another. Many scholars have criticized this idea saying it's too idealistic.
There have even been some philosophers who have said that there is no such thing as a perfect library. This is because the more libraries are made, the harder it will be to maintain them and ensure they are accurate.
Some say that the idea of a perfect library is impossible to achieve because there will always be people who use it in ways which are not intended. They may, for example, borrow books and never bring them back or they might even deliberately damage them."
